id,transcriptId,assetId
548,1249,448
14,31,15
634,1434,508
413,1019,340
100,449,107
805,1939,669
455,1062,372
248,779,230
471,1102,389
372,949,314
255,799,237
141,598,134
432,1038,356
657,1493,522
6,10,7
269,816,248
463,1091,380
478,1109,393
632,1432,507
806,1940,669
146,608,149
417,1023,347
419,1025,350
584,1293,476
18,41,22
264,811,245
212,691,200
481,1112,394
344,906,298
252,794,234
801,1933,666
465,1096,381
472,1103,390
274,821,251
836,2014,708
73,128,67
644,1474,513
178,649,171
524,1213,422
863,2096,733
383,972,321
149,611,151
574,1282,470
231,762,218
114,516,111
448,1054,368
266,813,246
191,669,183
409,1015,337
849,2027,717
67,122,62
323,883,284
140,597,133
420,1026,348
214,698,202
144,606,148
735,1705,595
588,1297,480
590,1299,481
569,1276,464
780,1843,632
832,2010,704
364,937,308
396,1002,332
545,1241,445
622,1420,502
265,812,246
199,678,188
551,1254,452
273,820,251
285,834,258
473,1104,390
2,6,3
798,1884,660
600,1310,486
370,947,312
375,952,315
1,5,2
822,1990,691
833,2011,705
516,1182,413
716,1686,574
848,2026,717
631,1431,506
790,1855,643
286,835,258
720,1690,578
809,1957,675
707,1677,565
659,1512,524
819,1978,689
363,936,308
120,522,76
106,508,96
826,1995,694
576,1284,472
594,1304,483
513,1179,412
829,1998,696
547,1243,447
558,1265,458
355,919,303
298,847,265
184,661,176
209,688,195
669,1586,530
651,1487,519
810,1958,676
96,445,106
726,1696,584
9,14,9
553,1256,453
118,520,113
243,774,226
374,951,313
480,1111,394
410,1016,342
219,748,204
299,848,265
591,1300,481
378,964,317
186,663,178
253,795,234
602,1314,488
546,1242,447
173,644,168
319,879,280
804,1936,668
579,1287,474
467,1098,384
494,1134,401
225,756,214
522,1204,419
309,858,272
855,2063,726
300,849,266
345,907,294
21,44,23
729,1699,589
453,1060,371
407,1013,345
127,529,81
834,2012,705
408,1014,337
429,1035,355
452,1058,370
483,1114,395
242,773,225
642,1442,512
490,1121,399
305,854,269
358,922,305
482,1113,395
94,443,105
623,1421,502
580,1288,474
568,1275,464
107,509,98
496,1136,402
445,1051,366
287,836,259
696,1655,553
293,842,262
645,1475,513
636,1436,510
68,123,62
297,846,264
599,1309,485
311,862,276
353,917,302
360,933,306
377,963,317
477,1108,392
101,450,107
183,654,175
688,1647,549
761,1807,616
769,1820,624
71,126,65
441,1047,362
402,1008,335
415,1021,346
103,452,115
852,2040,724
351,915,301
668,1585,529
457,1064,374
641,1441,511
119,521,114
461,1089,379
163,630,159
352,916,301
381,967,318
343,905,298
617,1369,499
430,1036,355
492,1132,400
171,642,167
867,2100,737
179,650,172
672,1589,532
556,1259,455
313,864,273
435,1041,358
656,1492,521
340,900,293
715,1685,573
717,1687,575
859,2084,730
695,1654,553
692,1651,551
624,1422,503
357,921,305
777,1840,631
462,1090,380
566,1273,463
585,1294,476
663,1576,527
427,1033,353
725,1695,583
304,853,268
647,1483,515
837,2015,709
858,2083,729
154,618,153
34,64,30
605,1322,489
328,888,283
828,1997,697
239,770,224
514,1180,412
291,840,261
449,1055,369
177,648,171
338,898,292
283,831,256
295,844,263
614,1366,498
693,1652,552
19,42,22
581,1290,475
326,886,282
428,1034,354
655,1491,521
256,800,238
799,1931,664
33,63,30
281,829,255
401,1007,335
306,855,269
519,1201,418
251,782,233
70,125,64
245,776,227
208,687,194
719,1689,577
643,1443,512
770,1821,624
654,1490,520
621,1419,501
733,1703,593
294,843,263
280,828,254
736,1706,595
230,761,218
271,818,249
288,837,259
746,1775,602
851,2031,718
544,1240,445
604,1321,489
227,758,216
188,666,181
842,2020,711
713,1683,571
861,2094,732
854,2062,725
456,1063,372
436,1042,359
724,1694,582
779,1842,71
66,121,61
464,1095,381
361,934,307
386,991,323
335,895,290
277,825,253
589,1298,480
99,448,108
650,1486,518
666,1579,528
112,514,102
143,600,136
303,852,268
217,746,203
845,2023,713
788,1853,642
426,1032,353
12,29,14
625,1423,503
565,1272,462
711,1681,569
640,1440,511
582,1291,475
662,1530,525
730,1700,590
226,757,216
315,866,274
618,1416,500
813,1961,679
446,1052,366
347,909,299
543,1235,442
312,863,273
405,1011,341
388,993,325
261,808,243
117,519,112
314,865,274
484,1115,396
444,1050,365
385,978,322
486,1117,397
359,932,306
608,1325,491
216,745,203
197,675,186
215,699,202
167,638,165
454,1061,371
145,607,148
470,1101,388
279,827,254
365,940,310
142,599,135
318,878,280
164,631,159
267,814,247
757,1799,611
268,815,247
104,506,94
310,859,272
108,510,99
296,845,264
330,890,286
460,1088,379
685,1643,547
709,1679,567
637,1437,510
469,1100,387
703,1671,560
670,1587,530
213,692,200
109,511,100
244,775,226
416,1022,347
523,1212,422
98,447,108
787,1852,640
673,1600,533
865,2098,735
228,759,217
442,1048,362
802,1934,667
468,1099,387
379,965,319
557,1264,458
202,681,190
172,643,167
586,1295,479
194,672,184
153,617,153
797,1883,660
649,1485,518
116,518,109
190,668,182
200,679,189
329,889,283
840,2018,710
105,507,95
404,1010,339
610,1338,494
626,1424,504
824,1993,693
835,2013,708
796,1882,659
606,1323,490
322,882,284
292,841,262
423,1029,349
339,899,292
92,441,104
567,1274,463
812,1960,678
652,1488,519
542,1234,442
302,851,267
616,1368,499
346,908,294
321,881,281
23,46,24
434,1040,358
598,1308,485
862,2095,733
658,1494,522
391,996,326
628,1428,505
518,1184,416
844,2022,712
308,857,271
756,1798,611
421,1027,348
706,1676,564
564,1271,462
349,913,300
682,1629,543
336,896,290
395,1001,331
705,1675,563
665,1578,528
575,1283,470
864,2097,735
113,515,103
414,1020,346
823,1991,692
723,1693,581
443,1049,365
126,528,81
369,946,312
520,1202,418
710,1680,568
653,1489,520
102,451,115
156,620,155
487,1118,397
348,910,299
595,1305,483
583,1292,475
789,1854,642
376,953,315
229,760,217
3,7,3
389,994,327
722,1692,580
241,772,225
182,653,174
491,1122,399
560,1267,459
195,673,185
476,1107,392
479,1110,393
689,1648,550
825,1994,695
203,682,190
387,992,324
192,670,183
260,807,243
69,124,64
734,1704,594
390,995,326
697,1665,554
207,686,193
549,1250,448
458,1065,374
403,1009,338
495,1135,402
341,903,295
704,1672,560
246,777,228
174,645,168
411,1017,342
714,1684,572
680,1627,542
189,667,182
847,2025,715
121,523,76
778,1841,71
667,1584,529
555,1258,455
15,32,15
398,1004,336
201,680,189
698,1666,554
754,1796,610
187,665,181
846,2024,713
181,652,173
382,968,318
412,1018,340
400,1006,334
327,887,282
193,671,184
596,1306,484
284,832,256
554,1257,454
362,935,307
627,1425,504
827,1996,694
727,1697,586
629,1429,505
850,2030,718
521,1203,419
397,1003,333
278,826,253
639,1439,509
399,1005,334
488,1119,398
609,1326,491
93,442,104
20,43,23
111,513,97
630,1430,506
671,1588,530
772,1823,625
493,1133,401
577,1285,472
517,1183,416
366,941,310
275,822,252
660,1513,524
587,1296,479
683,1630,544
786,1851,640
8,13,8
843,2021,712
337,897,291
320,880,281
747,1776,602
853,2041,724
821,1989,691
681,1628,542
185,662,176
731,1701,591
638,1438,509
290,839,261
97,446,106
180,651,172
635,1435,508
755,1797,610
301,850,267
687,1646,549
451,1057,370
820,1979,690
818,1977,689
675,1602,534
22,45,24
601,1311,486
247,778,229
552,1255,453
694,1653,552
334,894,289
841,2019,711
691,1650,551
721,1691,579
206,685,192
371,948,314
168,639,165
515,1181,413
211,690,197
198,677,188
354,918,303
431,1037,356
65,120,61
860,2085,731
814,1962,680
392,997,328
447,1053,367
263,810,245
795,1881,659
475,1106,391
218,747,204
150,612,151
732,1702,593
771,1822,625
607,1324,490
196,674,186
282,830,255
597,1307,484
708,1678,566
661,1529,525
686,1644,547
72,127,65
592,1301,482
384,977,322
611,1339,494
422,1028,349
350,914,300
633,1433,507
418,1024,350
276,823,252
394,1000,330
485,1116,396
817,1976,688
74,187,18
95,444,105
307,856,270
380,966,319
831,2009,703
620,1418,501
866,2099,736
728,1698,588
240,771,224
324,884,285
664,1577,527
270,817,248
325,885,285
272,819,249
593,1302,482
712,1682,570
110,512,101
559,1266,459
13,30,14
803,1935,668
674,1601,533
7,11,7
839,2017,710
615,1367,498
690,1649,550
489,1120,398
603,1315,488
811,1959,677
356,920,304
224,755,214
450,1056,369
262,809,244
830,1999,696
550,1253,452
474,1105,391
619,1417,500
373,950,313
115,517,110
437,1043,359
838,2016,709
